     1→     1→# WEDJAT BRAIN — Phase 0 Ecosystem Audit (§137)
    20→    20→| 7 | AURIENTA | `Aurienta/Aurienta` | public | HTML | Next.js + Prisma + shadcn/ui | "Constitutional launchpad" — noncustodial constitutional infrastructure; transforms capital into real-economy corporate ownership | `@google/generative-ai`, `@huggingface/inference`, `groq-sdk`, `openai` (4 providers — **only repo NOT on z-ai**) | Prisma + libSQL/Turso | inspectable |
    21→    21→| 8 | SGTX | `SGTX-PILOT/SGTX` | public | TypeScript | Next.js + Prisma + shadcn/ui + @noble/ed25519 | Sovereign Governed Trade Execution — non-custodial, AI-governed trade execution engine, cryptographic cross-border trade | `z-ai-web-dev-sdk` | Prisma + libSQL + Postgres scripts (`db:push-postgres`) | inspectable |
    22→    22→| 9 | MTQ / MITHQAL | `MITHQALMTQ/MTQ` | public | — (None) | **none** — repo is effectively a stub | Neutral settlement capability next to existing banking infrastructure (concept only) | none | none | **stub** (LICENSE + 183-byte README only) |
    23→    23→| 10 | JUDGE-SMART | `fortleem/judge_synapse` | public | HTML | Next.js + Prisma + shadcn/ui | Egyptian Judicial Smart Platform V2.1 — case workspace (5 tabs), 14 gov portals, 39 legal texts with provenance, hybrid search, judge/system separation, audit log | `z-ai-web-dev-sdk` | Prisma + libSQL/Turso (`sync-turso` script) | inspectable |
    24→    24→| 11 | EGYCOURT | `egycourt/egycourt` | **404 Not Found** | n/a | n/a | n/a — **repo does not exist publicly** (org `egycourt` exists, `public_repos: 0`) | n/a | n/a | **not inspectable** |
    25→    25→| 12 | SGTX FABLE | `fortleem/SGTX_FABLE` | public | TypeScript | Next.js (per README "v12", "Sovereign Obsidian & Gold") — but **package.json is a 5-dep Hono/Vite stub** (`hono`, `@hono/vite-build`, `@hono/vite-dev-server`) → README and code disagree; the v12 Next.js app is **not** in this repo's current package.json | SGTX Platform v12 — 9 portals (trader, logistics, financier, QC, lab, gov, admin, marketplace), 1.5% FeeLock, USTN shipment identity, Loom audit | none in current package.json | none in current package.json | inspectable but **inconsistent** (README vs. package.json) |
    26→    26→| 13 | PPE | `fortleem/PPE` | public | TypeScript | Next.js + Prisma + shadcn/ui + Tailwind 4 + Zustand + recharts | PPE compliance detector (Helmet/Vest) — zero/few/many-shot experiments, Arabic technical report, PWA, real 111-image dataset; results: 94.7% exact match | `z-ai-web-dev-sdk` (VLM in-context learning) | Prisma + libSQL/Turso | inspectable |
    27→    27→| 14 | MTQ SIGMA | `MITHQALMTQ/MTQ_SIGMA` | public | TypeScript | Next.js + Prisma + shadcn/ui + recharts + ethers + socket.io-client | MTQΣ — non-USD multi-currency reference unit, 110% collateralized reserve (stablecoins + gold), Monte Carlo (10,300 runs) + on-chain tests (28), deployed on 4 testnets | `z-ai-web-dev-sdk` | Prisma + libSQL/Turso + Upstash Redis | inspectable |
    28→    28→| 15 | Wedjat_BrainAI | `WEDJATAI/Wedjat_BrainAI` | public | — (None) | **none — repo is a placeholder** | The Brain repo on GitHub — only contains a `LICENSE` file (11357 bytes). The actual Brain V2 widget code lives in `/home/z/my-project` per the local worklog (Task IDs 0–8). | n/a | n/a | **stub** (LICENSE only) |
    29→    29→
    30→    30→**Counts:**
    31→    31→- **Public & inspectable (with substantive content):** 12
    32→    32→- **Public but stub/placeholder only:** 2 (MTQ, Wedjat_BrainAI)
    33→    33→- **404 / not inspectable:** 1 (egycourt/egycourt)
    34→    34→- **Total repos audited:** 15
    35→    35→
    36→    36→---
    37→    37→
    38→    38→## Per-Platform Detail
    39→    39→
    40→    40→### 1. CIRKLE-SUPERAPP — `cirkle-superapp/CIRKLE`
    41→    41→- **Repo:** https://github.com/cirkle-superapp/CIRKLE
    42→    42→- **Status:** public (not archived, not fork), 38.9 MB
    43→    43→- **Language:** HTML (GitHub primary-language heuristic; package.json confirms TypeScript + Next.js)
    44→    44→- **Framework:** Next.js 16 + Prisma + shadcn/ui (New York) + Tailwind 4 — package name `nextjs_tailwind_shadcn_ts`. Uses `@aws-sdk/client-s3`, `@libsql/client`, `@prisma/adapter-libsql`, `next-auth`, `next-intl`, `next-themes`, `socket.io-client`, `@tanstack/react-query`, `@tanstack/react-table`.
    45→    45→- **Description:** (empty on GitHub API). Root directory contains heavy documentation: `MASTER_BLUEPRINT.md` (74 KB), `FINAL_REPORT.md`, `INTEGRATION.md`, `COO_AUDIT_REPORT.md`, `COO_AUDIT_REPORT_v2.md`, `PHASE0_INSPECTION_REPORT.md` (32 KB), `PRODUCTION_GATE.md`, `ZERO_COST_ARCHITECTURE.md`, `MEDIA_FABRIC_CHECKLIST.md`, `worklog.md` (645 KB). **No README.md present at root.**
    46→    46→- **Homepage:** https://cirkle-superapp-psi.vercel.app
    47→    47→- **Default branch:** `main`. Last pushed: 2026-09-20.
    48→    48→- **Brain integration domain (spec §4.1 candidates):** users, social graph, identity, content catalog, recommendations — TBD pending integration phase.
    49→    49→- **Audit notes:** CIRKLE appears to be the super-app hub for the `cirkle-superapp/*` family (MAIL, mashahd, verify, wasl all reference the CIRKLE brand). Files like `INTEGRATION.md` and `PHASE0_INSPECTION_REPORT.md` suggest this repo may already contain cross-platform integration intent — worth deeper read in a later phase. **No README** — first integration blocker: need at minimum a README to expose platform capabilities to the Brain.
    50→    50→
    51→    51→### 2. CIRKLE-MAIL — `cirkle-superapp/MAIL`
    52→    52→- **Repo:** https://github.com/cirkle-superapp/MAIL
    53→    53→- **Status:** public, 3.2 MB
    54→    54→- **Language:** TypeScript
    55→    55→- **Framework:** Next.js 16 + Prisma + shadcn/ui + react-hook-form + zod. Package name `cirkle-mail`. Scripts: `dev`, `build`, `start`, `lint`, `test`, `db:push/generate/migrate/reset`, `vercel-build`.
    56→    56→- **Description:** (empty on API). README is rich: "A fast, distraction-free email client — mails only — premium gold + teal design system + animated three-ring logo." Three-column layout, snooze, undo-send (5s window), real drafts, recipient autocomplete, bulk actions, thread view, full-text search.
    57→    57→- **Homepage:** https://cirkle-mail.vercel.app
    58→    58→- **Last pushed:** 2026-09-22 (most recent push in the audit).
    59→    59→- **Brain integration domain (§4.1):** `communications.email` — send/receive, drafts, threads, labels, search. Brain tools could include `mail.send`, `mail.draft.create`, `mail.search`, `mail.thread.reply`, `mail.snooze`.
    60→    60→- **Audit notes:** Clean README, z-ai-web-dev-sdk present. Strong candidate for early tool-adapter work — email is a high-leverage, well-scoped domain.
    61→    61→
    62→    62→### 3. OLYMPEX — `fortleem/olympex_export`
    63→    63→- **Repo:** https://github.com/fortleem/olympex_export
    64→    64→- **Status:** public, 3.7 MB
    65→    65→- **Language:** TypeScript
    66→    66→- **Framework:** Next.js 16 (App Router + Turbopack) + Prisma + SQLite + shadcn/ui (New York) + Tailwind 4 + react-hook-form/zod. Manrope / Fraunces / Cinzel fonts. Single-page app with hash routing. Public API has rate limiting.
    67→    67→- **Description:** (empty on API). README: "Olymp Ex — Egyptian Fresh & Frozen Produce Exporter. Corporate site + RFQ pipeline + hardened public API." Single `DATABASE_URL=file:…/db/custom.db` env.
    68→    68→- **Homepage:** https://olymp-ex.vercel.app
    69→    69→- **Last pushed:** 2026-09-19.
    70→    70→- **Brain integration domain (§4.1):** `commerce.rfq`, `commerce.products`, `commerce.logistics` — RFQ submission, product catalog query, logistics status. Brain tools could include `olympex.rfq.submit`, `olympex.catalog.search`, `olympex.quote.status`.
    71→    71→- **Audit notes:** Z-ai present, Prisma schema is small/clean. Lowest-complexity integration target of the fortleem family.
    72→    72→
    73→    73→### 4. MASHAHD — `cirkle-superapp/mashahd`
    74→    74→- **Repo:** https://github.com/cirkle-superapp/mashahd
    75→    75→- **Status:** public, 71 MB (largest Cirkle repo by size)
    76→    76→- **Language:** HTML
    77→    77→- **Framework:** Next.js 16 + Prisma + shadcn/ui + `@aws-sdk/client-s3` + `@libsql/client`. Multi-service runtime: `dev:app`, `dev:tracker`, `dev:party` (suggests app + tracker + partykit-style realtime). Package name `mashahd`.
    78→    78→- **Description:** "video streaming app" (terse).
    79→    79→- **Root files:** No README.md. Heavy docs: `MASTER_BLUEPRINT.md` (74 KB), `COO_AUDIT_REPORT_v2.md`, `PHASE0_INSPECTION_REPORT.md`, `ZERO_COST_ARCHITECTURE.md`, `MEDIA_MESH_V4_CHECKLIST.md`, `MEDIA_PIPELINE.md`, `P2P_NETWORKING.md`, `VIDEO_STREAMING_ARCHITECTURE.md`, `worklog.md` (645 KB).
    80→    80→- **Homepage:** https://mashahd.vercel.app
    81→    81→- **Last pushed:** 2026-09-22.
    82→    82→- **Brain integration domain (§4.1):** `media.video` — catalog, playback state, recommendations, watch history, transcoding pipeline status. Brain tools could include `mashahd.video.search`, `mashahd.playlist.create`, `mashahd.recommend`, `mashahd.tracker.stats`.
    83→    83→- **Audit notes:** Very large repo, complex multi-service. mashahd and Aurienta have **identical file sizes for every shared top-level file** (`bun.lock` 377,686 B, `worklog.md` 1,724,116 B, `PRODUCTION_READINESS_AUDIT.md` 23,199 B, etc.) — strong evidence they were forked from the same snapshot/template. mashahd's `worklog.md` is 1.7 MB — a long multi-agent implementation log.
    84→    84→
    85→    85→### 5. VERIFY (Cirkle Identity Verification / دواير) — `cirkle-superapp/verify`
    86→    86→- **Repo:** https://github.com/cirkle-superapp/verify
    87→    87→- **Status:** public, 36.5 MB
    88→    88→- **Language:** TypeScript
    89→    89→- **Framework:** Next.js 16 + React 19 + TypeScript 5 + Prisma + shadcn/ui + Tailwind 4 + Zustand + recharts + `@napi-rs/canvas` + `tesseract.js` + `@neondatabase/serverless` + `drizzle-orm`/`drizzle-kit` (in addition to Prisma).
    90→    90→- **Description:** "live verification".
    91→    91→- **README highlights:** AI-powered live identity verification for Egyptian & Arabic documents, zero-cost, self-hosted, privacy-first. 3-pass Arabic OCR (image quality → Arabic-first OCR → field extraction), Egyptian 14-digit National ID decoder (gender/birthdate inference), MRZ TD1 (ID) + TD3 (passport) parsing, live face capture + VLM face match, liveness (3 random challenges), image quality scoring, training database, Evaluation Lab with per-field accuracy charts.
    92→    92→- **Homepage:** https://cirkle-verify.vercel.app
    93→    93→- **Last pushed:** 2026-09-21.
    94→    94→- **Brain integration domain (§4.1):** `identity.kyc`, `identity.document`, `identity.face`, `identity.liveness`. Brain tools could include `verify.id.egypt.decode`, `verify.mrz.parse`, `verify.face.match`, `verify.liveness.run`, `verify.report.issue`. **Strongly aligned with WEDJAT spec §62 (tenant identity) and §83-85 (verification).**
    95→    95→- **Audit notes:** Most Brain-aligned repo in the audit. The Verify domain semantics (provenance, evidence, validity) overlap heavily with the Brain's own knowledge/evidence model — Verify should be a high-priority integration partner. Uses **both Prisma and Drizzle** (Drizzle likely for Neon serverless edge reads) — adapter must account for two ORMs.
    96→    96→
    97→    97→### 6. WASL — `cirkle-superapp/wasl`
    98→    98→- **Repo:** https://github.com/cirkle-superapp/wasl
    99→    99→- **Status:** public, 42.7 MB
   100→   100→- **Language:** HTML
   101→   101→- **Framework:** Next.js 16 + Prisma + Socket.io + shadcn/ui + `@libsql/client` (Turso production: `libsql://wasl-fortleem.aws-us-east-1.turso.io`). Package name `nextjs_tailwind_shadcn_ts`.
   102→   102→- **Description:** "chat app".
   103→   103→- **README highlights:** WhatsApp-like real-time chat. Auth (username/password, or login w/ Cirkle email/phone/username — already integrates with CIRKLE identity). Multi-phone numbers. Real-time messaging w/ typing/read receipts/presence/reactions/star/delete. Business accounts (verified, public/private groups). **AI-verified "commits"** (Cirkle-inspired) with hash + fairness check + two-party signatures + lifecycle (pending → active → completed). Admin review queue. Polls, stories (24h), voice messages, in-chat search.
   104→   104→- **Homepage:** https://cirkle-wasl.vercel.app
   105→   105→- **Last pushed:** 2026-09-22.
   106→   106→- **Brain integration domain (§4.1):** `social.conversation`, `social.commit`, `social.business`, `social.presence`. Brain tools could include `wasl.message.send`, `wasl.commit.create`, `wasl.commit.verify` (AI fairness check), `wasl.business.search`, `wasl.story.post`. The "AI-verified commit" pattern directly overlaps with WEDJAT spec §52-57 (governed tool execution + action state machine).
   107→   107→- **Audit notes:** Realtime stack (Socket.io) — Brain adapter will need an event bridge (NDJSON webhook subscription, not just REST). The "commit" lifecycle already implements a state machine; aligning with Brain's `PROPOSED → AUTHORIZED → EXECUTED → VERIFIED` is straightforward.
   108→   108→
   109→   109→### 7. AURIENTA — `Aurienta/Aurienta`
   110→   110→- **Repo:** https://github.com/Aurienta/Aurienta
   111→   111→- **Status:** public, 69.7 MB
   112→   112→- **Language:** HTML
   113→   113→- **Framework:** Next.js + Prisma + shadcn/ui + Tailwind 4. Standalone build script (`build:standalone`). Dockerfile present.
   114→   114→- **Description:** "AURIENTA is a noncustodial constitutional infrastructure of structural trust. It transforms everyday capital into real-economy corporate ownership. The world's first constitutional launchpad — not crowdfunding, not speculation, not platform dependency."
   115→   115→- **Root files:** No README.md. `worklog.md` (1.7 MB — identical byte size to mashahd's worklog), `PRODUCTION_READINESS_AUDIT.md` (23 KB), `REPOSITORY_INTEGRITY.md`, `UI_AUDIT.md`.
   116→   116→- **AI providers (package.json):** `@google/generative-ai`, `@huggingface/inference`, `groq-sdk`, `openai`. **The only audited repo NOT standardized on `z-ai-web-dev-sdk`.** This is the single most important architectural divergence in the ecosystem.
   117→   117→- **DB:** Prisma + libSQL/Turso.
   118→   118→- **Homepage:** https://aurienta.vercel.app
   119→   119→- **Last pushed:** 2026-09-21.
   120→   120→- **Brain integration domain (§4.1):** `finance.constitutional`, `finance.ownership`, `capital.launchpad`. Brain tools could include `aurienta.capital.deploy`, `aurienta.ownership.transfer`, `aurienta.charter.verify`. Heavily speculative without deeper code access.
   121→   121→- **Audit notes:** Four parallel AI SDKs suggests AURIENTA was either (a) built before z-ai became the ecosystem standard, or (b) intentionally multi-provider. **Brain model abstraction (spec §45-48) must accommodate AURIENTA's existing SDK fan-out** if the Brain is to govern its AI calls. High architectural divergence — flag for Phase 1 reconciliation before any adapter is built.
   122→   122→
   123→   123→### 8. SGTX — `SGTX-PILOT/SGTX`
   124→   124→- **Repo:** https://github.com/SGTX-PILOT/SGTX
   125→   125→- **Status:** public, 73.5 MB (largest repo overall besides mashahd)
   126→   126→- **Language:** TypeScript
   127→   127→- **Framework:** Next.js + Prisma + shadcn/ui + `@noble/ed25519` (Ed25519 signatures) + `@libsql/client`. Scripts include Postgres tooling (`db:push-postgres`, `db:validate-postgres`) and full test suite (`test`, `test:ci`, `test:e2e`, `test:coverage`).
   128→   128→- **Description:** "Sovereign Governed Trade Execution (SGTX) — Non-custodial, AI-governed trade execution engine. Zero-cost, sovereign infrastructure for cryptographic cross-border trade with AI-assisted optimisation, zero counterparty risk, and jurisdiction supremacy."
   129→   129→- **README (260 B):** terse — restates the description.
   130→   130→- **Homepage:** https://sgtx.vercel.app
   131→   131→- **Last pushed:** 2026-09-21.
   132→   132→- **Brain integration domain (§4.1):** `trade.execution`, `trade.governance`, `trade.jurisdiction`. Brain tools could include `sgtx.trade.propose`, `sgtx.trade.execute` (Ed25519 signed), `sgtx.jurisdiction.verify`, `sgtx.audit.fetch`. **Spec §56 (risk gating) is critical here — trades are HIGH risk by default.**
   133→   133→- **Audit notes:** Uses **dual DBs** (libSQL for app + Postgres scripts for production). Ed25519 signatures imply on-chain / non-custodial key custody — Brain must NEVER hold private keys (spec §62 identity isolation rules apply). Test suite (Playwright e2e) is the most complete in the audit — leverages for adapter contract tests.
   134→   134→
   135→   135→### 9. MTQ / MITHQAL — `MITHQALMTQ/MTQ`
   136→   136→- **Repo:** https://github.com/MITHQALMTQ/MTQ
   137→   137→- **Status:** public, 5 KB
   138→   138→- **Language:** None
   139→   139→- **Framework:** none — repo contains only `LICENSE` (11,357 B) and `README.md` (183 B).
   140→   140→- **README content (in full):**
   141→   141→  ```
   142→   142→  # MTQ
   143→   143→  MITHQAL adds a neutral settlement capability next to existing banking infrastructure.
   144→   144→  The integration principle is translation, not transformation. Your bank remains your bank.
   145→   145→  ```
   146→   146→- **Homepage:** none
   147→   147→- **Last pushed:** 2026-08-21 (oldest push in the audit).
   148→   148→- **Brain integration domain (§4.1):** `finance.settlement`, `banking.translation` — concept only, no runtime to integrate with.
   149→   149→- **Audit notes:** Stub repository. Concept lives in prose only — no code. **Cannot audit runtime behavior.** Per §186, this platform cannot be claimed as integrated until MTQ has actual code. The operational MITHQAL presence is in `MITHQALMTQ/MTQ_SIGMA` (#14).
   150→   150→
   151→   151→### 10. JUDGE-SMART — `fortleem/judge_synapse`
   152→   152→- **Repo:** https://github.com/fortleem/judge_synapse
   153→   153→- **Status:** public, 41.2 MB
   154→   154→- **Language:** HTML
   155→   155→- **Framework:** Next.js + Prisma + shadcn/ui + `@libsql/client` + `next-auth` + `next-intl`. `sync-turso` script (Turso production).
   156→   156→- **Description:** (empty on API). README is in Arabic: "المنصة القضائية الذكية — Egyptian Judicial Smart V2.1".
   157→   157→- **README highlights:** Sovereign platform for judicial AI, legal research, evidence organization, and reasoning support. 5-tab case workspace (Overview / Facts&Evidence / Law / Analysis / Decision). **14 Egyptian government portals indexed** (Constitution, Official Gazette, Cassation, State Council, Supreme Constitutional). 39 authenticated legal texts with full provenance, signed corpus snapshot `EJB-CORPUS-2026.08-R1`. Hybrid search (exact + lexical + temporal). **Strict judge/system separation**: `system_proposal` (non-binding) vs. `judge_decision` (binding) vs. `adversary_transfer` (adversarial review). Audit log "غير [...]" (truncated).
   158→   158→- **Homepage:** https://judge-liart.vercel.app
   159→   159→- **Last pushed:** 2026-09-03 (one of the older repos in active audit).
   160→   160→- **Brain integration domain (§4.1):** `legal.case`, `legal.evidence`, `legal.research`, `legal.decision`. Brain tools could include `judge.case.fetch`, `judge.law.search` (hybrid), `judge.evidence.attach`, `judge.proposal.draft` (non-binding — must respect §165 honest evidence), `judge.corpus.snapshot`. **Directly aligned with WEDJAT §26-33 (knowledge sources/claims/evidence/provenance/versions/conflicts) and §100 (system vs. binding decision separation).**
   161→   161→- **Audit notes:** Second most Brain-aligned repo after VERIFY. The `system_proposal` vs. `judge_decision` distinction maps perfectly to spec §165 (never fake confidence) and §55 (action state machine: PROPOSED is non-binding). Existing signed corpus snapshot pattern (`EJB-CORPUS-2026.08-R1`) is exactly the provenance/versions pattern the Brain models — adapter should reuse judge_synapse's corpus as a knowledge source.
   162→   162→
   163→   163→### 11. EGYCOURT — `egycourt/egycourt`
   164→   164→- **Repo:** https://github.com/egycourt/egycourt
   165→   165→- **Status:** **404 Not Found** (confirmed via both API and `https://github.com/egycourt/egycourt`).
   166→   166→- **Org:** `egycourt` (GitHub Organization id 322068454) exists with `public_repos: 0`. **No public repositories at all.**
   167→   167→- **Language:** n/a. **Framework:** n/a. **Description:** n/a.
   168→   168→- **Brain integration domain (§4.1):** unknown — cannot determine without repo access.
   169→   169→- **Audit notes:** Either (a) never existed publicly, (b) was deleted, or (c) is private. **Per spec §186, EGYCOURT cannot be claimed as integrated — no inspection occurred.** Recommend contacting repo owner for clarification before Phase 1.
   170→   170→
   171→   171→### 12. SGTX FABLE — `fortleem/SGTX_FABLE`
   172→   172→- **Repo:** https://github.com/fortleem/SGTX_FABLE
   173→   173→- **Status:** public, 1.8 MB
   174→   174→- **Language:** TypeScript
   175→   175→- **Framework:** **README claims Next.js v12 "Sovereign Obsidian & Gold"** app with 9 portals (trader, logistics, financier, QC, lab, gov, admin, marketplace, shipping), 1.5% FeeLock, USTN shipment identity, GTID tenant identity, Loom audit. **However, the actual `package.json` is a 5-dependency Hono + Vite stub** (`hono`, `@hono/vite-build`, `@hono/vite-dev-server`, plus `dev`/`build`/`preview`/`deploy` scripts). The two are inconsistent — the v12 Next.js app described in the README is **not** what's in the current `main` branch's package.json.
   176→   176→- **Description:** (empty on API).
   177→   177→- **README highlights:** Demo credentials provided (`demo123` / `admin123`), 10 demo user emails per portal. Local sandbox URL only (cloud deployment deferred per owner instruction).
   178→   178→- **Homepage:** https://sgtx-fable.vercel.app
   179→   179→- **Last pushed:** 2026-09-20.
   180→   180→- **Brain integration domain (§4.1):** `trade.portal.*` (9 sub-domains: trader, logistics, financier, qc, laboratory, government, admin, marketplace, shipping). Each portal has its own auth gate (`/portal/:id/login` returns 403 for wrong tenant type).
   181→   181→- **Audit notes:** **Significant inconsistency between README and current code.** Either the README is aspirational/legacy or `main` was reset. The 5-dep Hono stub does not match the described 9-portal Next.js app. **Adapter work blocked until reconciliation.** Tenant-type gate pattern (`/portal/:id`) is consistent with WEDJAT §62-63 (tenant isolation) — promising if the code matches the README.
   182→   182→
   183→   183→### 13. PPE — `fortleem/PPE`
   184→   184→- **Repo:** https://github.com/fortleem/PPE
   185→   185→- **Status:** public, 14.5 MB
   186→   186→- **Language:** TypeScript
   187→   187→- **Framework:** Next.js + Prisma + shadcn/ui + Tailwind 4 + Zustand + recharts + `z-ai-web-dev-sdk`. PWA installable on Android/iOS.
   188→   188→- **Description:** (empty on API). README is bilingual (EN/AR): "PPE Detector — نظام كشف معدات السلامة".
   189→   189→- **README highlights:** End-to-end PPE (Personal Protective Equipment) compliance detector — classifies workers into Helmet / No Helmet / Safety Vest / No Vest. **Real collected dataset (111 images).** Zero-shot vs. few-shot (8 examples) vs. many-shot (24 examples) experiments. **Automated error-cause analysis** (`label_noise` classification). **Arabic technical report** generator. **Results: 94.7% exact match in all 3 modes**, perfect helmet accuracy, residual vest error labeled `label_noise` (ground-truth issue, not model issue).
   190→   190→- **Homepage:** https://ppe-smart.vercel.app
   191→   191→- **Last pushed:** 2026-09-06.
   192→   192→- **Brain integration domain (§4.1):** `vision.safety.ppe`, `vision.classify`, `vision.dataset`. Brain tools could include `ppe.image.classify`, `ppe.dataset.fetch`, `ppe.report.generate` (Arabic).
   193→   193→- **Audit notes:** Excellent evaluation methodology — matches spec §86-92 (golden dataset evaluation). The 94.7% / `label_noise` finding demonstrates the spec's §163 (honest evidence — UNKNOWN/INSUFFICIENT) philosophy in practice. Should be integrated as a Vision tool under Brain §51-57 governance. Dataset is real and small — ideal for adapter reference tests.
   194→   194→
   195→   195→### 14. MTQ SIGMA — `MITHQALMTQ/MTQ_SIGMA`
   196→   196→- **Repo:** https://github.com/MITHQALMTQ/MTQ_SIGMA
   197→   197→- **Status:** public, 59.3 MB
   198→   198→- **Language:** TypeScript
   199→   199→- **Framework:** Next.js + Prisma + shadcn/ui + recharts + `ethers` (Web3) + `socket.io-client` + `@upstash/redis` + `z-ai-web-dev-sdk`. Tests include `test:backtest` (Monte Carlo).
   200→   200→- **Description:** "MTQ Σ is a non-USD, multi-currency reference unit backed by a 110% collateralized reserve of stablecoins and gold, designed to preserve global purchasing power."
   201→   201→- **README highlights:** Closed-loop monetary architecture pilot. GFB Index (5-currency basket), 110% gold-collateralized reserve, mint/redeem priced against the index. **Deployed on 4 testnets** (Monad, Arc, Robinhood, Solana). `src/lib/mtq/` (blueprint engine, Monte Carlo, brand, contract registry), `src/app/api/` (10 endpoints: metrics, oracle, registry, contracts, status, onchain, tests, trials, trials/export, simulate), `src/components/mtq/` (22 UI components), `contracts/` (Solidity: `MtqEcosystem.sol`, `MTQSigma.sol`). **10,300 Monte Carlo runs + 28 on-chain invariant/fuzz tests.**
   202→   202→- **Status (per README):** "Candidate for public testing — NOT production-authorized. Designed for Sharia review (independent fatwa required)."
   203→   203→- **Homepage:** https://mtq-sigma.vercel.app
   204→   204→- **Last pushed:** 2026-09-21.
   205→   205→- **Brain integration domain (§4.1):** `finance.reserve`, `finance.oracle`, `finance.mint_redeem`, `finance.testnet`. Brain tools could include `mtq.oracle.fetch` (GFB Index), `mtq.reserve.status`, `mtq.simulate` (Monte Carlo), `mtq.trial.run`. On-chain actions must be **HIGH risk** under spec §56 — require explicit human approval.
   206→   206→- **Audit notes:** Most mature MITHQAL repo (vs. MTQ stub). Four-testnet deployment + Solidity contracts + Sharia review gate — strongly aligned with spec §60 (data-class ceiling) and §56 (HIGH risk → human approval). Monte Carlo test pattern (10,300 runs) is the heaviest test investment in the audit.
   207→   207→
   208→   208→### 15. Wedjat_BrainAI (the Brain repo itself) — `WEDJATAI/Wedjat_BrainAI`
   209→   209→- **Repo:** https://github.com/WEDJATAI/Wedjat_BrainAI
   210→   210→- **Status:** public, 5 KB
   211→   211→- **Language:** None
   212→   212→- **Framework:** none — repo contains **only a `LICENSE` file** (11,357 bytes — matches AGPLv3 typical length).
   213→   213→- **Description:** (empty on API).
   214→   214→- **Homepage:** https://wedjatbrain-ai.vercel.app (deployed but repo content is just LICENSE).
   215→   215→- **Last pushed:** 2026-09-21.
   216→   216→- **Brain integration domain (§4.1):** this IS the Brain.
   217→   217→- **Audit notes:** **The GitHub repo is a placeholder/stub.** The actual WEDJAT BRAIN V2 widget implementation lives in `/home/z/my-project` (the current Next.js workspace) per the local worklog (Task IDs 0–8). This is a known and accepted state — the Brain's source-of-truth code is the local workspace, not the GitHub repo. When the Brain needs to be "published" or referenced by adapters in other platforms, the GitHub repo must be populated first (or the Brain's local code must be packaged/distributed another way). **No external integration blocker** for in-workspace development.
   218→   218→
   219→   219→---
   220→   220→
   221→   221→## Cross-Platform Findings
   222→   222→
   223→   223→### Public vs. private vs. 404
